area,rooms_num,market,advertiser_type,lift,price,building_ownership,construction_status,floor,outdoor,car,heating,build_year,building_type,windows_type,media_types,security_types,extras_types,building_material,equipment_types,street,neighbourhood
82,3,locuință nouă,privat,True,250000,,gata de utilizare,5/6,,,,2024,bloc,,"('internet',)","('interfon', 'supraveghere video')",,,,Strada Macesului,Becas
81,3,locuință utilizată,agenție,False,349000,,,1/x,,,,0,,,,,,,,,Marasti
31,1,locuință utilizată,agenție,False,131000,,,0/x,"('balcon',)",,,0,,,,,,,,,Marasti
50,2,locuință utilizată,agenție,False,149500,,,3/x,"('balcon',)",,,0,,,,,,,,,Marasti
53,2,locuință nouă,agenție,True,139000,,gata de utilizare,2/6,"('balcon',)",,centralizată,2020,,,,,,,,,Dambul Rotund
32,1,locuință nouă,agenție,False,81900,,gata de utilizare,1/2,"('balcon',)",,centralizată,0,,,,,,,,,Someseni
30,1,locuință utilizată,agenție,False,95000,,,3/x,,,,0,,,,,,,,Strada Aurel Suciu,Gheorgheni
92,3,locuință utilizată,agenție,False,227000,drept de proprietate,gata de utilizare,4/4,"('balcon', 'terasă')",,centrală pe gaz,0,bloc,plastic,"('cablu tv', 'internet', 'telefon')","('ușă metalică', 'interfon')","('beci', 'bucătărie separată')",,"('frigider', 'mobilier', 'cuptor', 'plită', 'TV', 'mașină de spălat')",,Gheorgheni
52,1,locuință nouă,agenție,False,129000,,necesita renovare,8/24,"('balcon',)",,,2023,clădire de apartamente,,,,,,,,Manastur
52,2,locuință nouă,agenție,False,160000,,,4/x,"('balcon',)",,,2019,,,,,,,,,Marasti
40,1,locuință utilizată,agenție,False,109000,,,6/x,,,,0,,,,,,,,,Marasti
47,2,locuință nouă,agenție,False,168000,,,1/x,"('balcon',)",,,2013,,,,,,,,,Marasti
38,1,locuință utilizată,agenție,False,125000,,,2/x,,,,0,,,,,,,,,Marasti
38,2,locuință nouă,agenție,False,150000,,,3/x,"('balcon',)",,,2010,,,,,,,,,Marasti
47,2,locuință utilizată,agenție,False,129000,,,1/x,"('balcon',)",,,0,,,,,,,,,Marasti
60,2,locuință utilizată,agenție,False,105000,,,0/x,,,,0,,,,,,,,,Marasti
65,2,locuință nouă,agenție,False,200000,,,4/x,"('balcon',)",,,2021,,,,,,,,,Marasti
28,1,locuință utilizată,agenție,False,65000,,,-1/x,,,,0,,,,,,,,,Marasti
38,1,locuință nouă,agenție,False,110000,,,2/x,"('balcon',)",,,0,,,,,,,,,Marasti
28,1,locuință utilizată,agenție,False,80000,,,6/x,"('balcon',)",,,0,,,,,,,,,Marasti
33,1,locuință nouă,agenție,False,75000,,gata de utilizare,1/3,,,centralizată,2016,,,"('internet',)",,,,"('mobilier',)",Strada Traian Vuia,Someseni
64,3,locuință nouă,agenție,True,155000,,gata de utilizare,10/10,"('balcon',)",,centralizată,1979,,,,,,,,,Manastur
26,1,locuință nouă,agenție,False,71000,,gata de utilizare,0/4,,,,0,,,,,,,,,Manastur
87,3,locuință nouă,privat,False,192500,,,2/6,,,,2023,,,"('cablu tv', 'internet')","('ușă metalică', 'interfon', 'supraveghere video')",,,,Strada Macesului,Becas
58,4,locuință utilizată,agenție,False,99900,,,0/x,,,,0,,,,,,,,,Manastur
30,1,locuință utilizată,agenție,False,59999,,,4/x,,,,0,,,,,,,,,Dambul Rotund
66,3,locuință nouă,agenție,False,165000,,gata de utilizare,0/4,,,centralizată,0,,,,,,,,,Zorilor
57,4,locuință utilizată,agenție,False,99900,drept de proprietate,,0/4,,,,0,bloc,,,,,cărămidă,,,Manastur
11,1,locuință utilizată,agenție,False,32000,,,0/x,,,,0,,,,,,,,,Marasti
113,3,locuință nouă,agenție,False,390000,,,5/x,,,,0,,,,,,,,Strada Nicolae Tonitza,Buna Ziua
58,3,locuință utilizată,agenție,False,125000,,gata de utilizare,4/7,"('balcon',)",,centralizată,1991,,,,,,,,,Dambul Rotund
52,3,locuință utilizată,agenție,False,140000,,gata de utilizare,2/4,"('balcon',)",,centralizată,2008,,,,,,,,,Manastur
40,1,locuință nouă,agenție,True,109500,,gata de utilizare,5/10,"('balcon',)",,,1980,,,,,,,,,Manastur
45,2,locuință nouă,agenție,True,111000,drept de proprietate,gata de utilizare,4/6,"('balcon',)",,centrală pe gaz,2022,bloc,,"('cablu tv', 'internet', 'telefon')","('ușă metalică', 'interfon')","('scară interioară',)",cărămidă,"('frigider', 'mobilier', 'cuptor', 'plită', 'TV', 'mașină de spălat')",,Dambul Rotund
47,2,locuință utilizată,agenție,False,115000,,,4/x,,,,1997,,,,,,,,,Intre Lacuri
78,3,locuință nouă,agenție,True,283000,,necesita renovare,2/3,"('balcon',)",,,2025,,,,,,,,,Centru
59,2,locuință nouă,agenție,True,218000,,necesita renovare,2/3,"('balcon',)",,,2025,,,,,,,,,Centru
32,1,locuință nouă,agenție,False,85000,,gata de utilizare,0/3,"('balcon',)",,centralizată,2011,,,,,,,,,Iris
52,2,locuință nouă,agenție,True,192000,,necesita renovare,2/3,"('balcon',)",,,2025,,,,,,,,,Centru
32,1,locuință nouă,agenție,False,79000,,gata de utilizare,1/8,,,centralizată,1985,,,,,,,,,Manastur
30,1,locuință nouă,agenție,False,95000,,gata de utilizare,2/4,"('balcon',)",,,0,,,,,,,,,Gheorgheni
66,3,locuință utilizată,agenție,False,133780,,în construcție,5/6,"('balcon',)",,centralizată,2022,,,,,,,,,Intre Lacuri
61,2,locuință nouă,agenție,False,149900,,,6/x,,,,0,,,,,,,,Strada Fabricii,Iris
68,3,locuință utilizată,agenție,False,170000,,gata de utilizare,2/4,"('balcon',)",,,1991,,,,,,,,,Manastur
65,3,locuință nouă,agenție,False,135000,,gata de utilizare,0/4,,,centralizată,1980,,,,,,,,,Manastur
67,3,locuință utilizată,agenție,False,210000,,,0/x,,,,1990,,,,,,,,,Marasti
64,2,locuință utilizată,agenție,False,165000,drept de proprietate,gata de utilizare,0/4,"('balcon',)",garaj,centrală pe gaz,1993,bloc,plastic,,"('ușă metalică', 'interfon')",,cărămidă,"('frigider', 'mobilier', 'cuptor', 'plită', 'TV', 'mașină de spălat')",Strada Jozsef Attila,Andrei Muresanu
62,3,locuință utilizată,agenție,False,170000,,,2/x,,,,0,,,,,,,,,Marasti
78,4,locuință utilizată,agenție,True,200000,,,1/x,"('terasă',)",,centralizată,1980,clădire de apartamente,,"('telefon', 'internet', 'cablu tv')","('interfon',)","('bucătărie separată',)",,"('mobilier', 'frigider', 'mașină de spălat', 'mașină de spălat vasele')",,Manastur
60,2,locuință utilizată,agenție,False,169500,drept de proprietate,gata de utilizare,0/4,"('balcon',)",,centrală pe gaz,2010,bloc,plastic,,"('ușă metalică', 'interfon')","('aer condiționat',)",cărămidă,"('frigider', 'mobilier', 'cuptor', 'plită', 'TV', 'mașină de spălat')",,Becas
88,3,locuință utilizată,agenție,True,129900,,gata de utilizare,6/7,"('balcon',)",,centralizată,2015,,,,,,,,,Dambul Rotund
64,3,locuință utilizată,agenție,False,150000,,,4/4,"('balcon',)",,centralizată,1990,,,,,,,,,Intre Lacuri
65,3,locuință utilizată,agenție,False,125000,,,0/7,"('balcon',)",,centralizată,2020,,,,,,,,,Gruia
67,3,locuință utilizată,agenție,False,137500,,,0/4,,,centralizată,1980,,,,,,,,,Grigorescu
210,5,locuință utilizată,agenție,True,800000,,,10/x,"('terasă',)",garaj,,2023,clădire de apartamente,,"('telefon', 'internet', 'cablu tv')","('interfon', 'ușă metalică')",,,,,Manastur
69,3,locuință nouă,agenție,True,139500,,gata de utilizare,1/3,"('balcon',)",,centralizată,2017,,,,,"('aer condiționat',)",,,,
90,3,locuință nouă,agenție,False,249000,,gata de utilizare,3/3,"('balcon',)",,centralizată,2006,,,,,,,,Strada Sesului,Plopilor
54,2,locuință utilizată,agenție,False,115000,,,0/6,"('balcon',)",,centralizată,2005,,,,,,,,,Gheorgheni
54,2,locuință nouă,agenție,False,135000,,,2/x,"('balcon',)",,,2023,,,,,,,,,Marasti
60,3,locuință nouă,agenție,False,195000,,,4/6,"('balcon',)",,centralizată,2015,,,,,,,,,Buna Ziua
42,2,locuință nouă,agenție,False,130000,,gata de utilizare,3/4,"('balcon',)",,centralizată,1977,,,,,,,,,Grigorescu
41,2,locuință nouă,agenție,False,112000,,gata de utilizare,1/4,,,,1985,,,,,,,,,Grigorescu
67,3,locuință nouă,agenție,True,127000,,gata de utilizare,0/10,"('balcon',)",,centralizată,1978,,,,,,,,,Manastur
50,2,locuință utilizată,agenție,False,130000,,,4/x,,,,0,,,,,,,,Strada Liviu Rebreanu,Gheorgheni
50,2,locuință nouă,agenție,False,177000,,gata de utilizare,2/3,"('balcon',)",,centralizată,2010,,,,,,,,,Intre Lacuri
35,2,locuință nouă,agenție,False,78000,,gata de utilizare,4/4,,,,1975,,,,,,,,,Manastur
65,3,locuință utilizată,agenție,True,198000,,gata de utilizare,3/9,"('balcon',)",,centralizată,1990,,,,,"('aer condiționat',)",,,,Intre Lacuri
65,3,locuință utilizată,agenție,True,136000,,,0/4,"('balcon',)",,centralizată,1980,,,,,,,,,Manastur
63,3,locuință utilizată,agenție,False,163000,,gata de utilizare,3/7,"('balcon',)",,,2020,,,,,,,,,Iris
70,3,locuință utilizată,agenție,False,150000,,,6/10,"('balcon',)",,centralizată,1980,,,,,,,,,Manastur
66,3,locuință utilizată,agenție,True,175000,,,2/10,"('balcon',)",,centralizată,1980,,,,,,,,,Faget
50,2,locuință nouă,agenție,False,165000,,gata de utilizare,2/3,"('balcon',)",,centralizată,2009,,,,,,,,,Buna Ziua
64,3,locuință utilizată,agenție,False,165000,,,6/10,"('balcon',)",,centralizată,2020,,,,,,,,,Dambul Rotund
87,3,locuință utilizată,agenție,True,217500,,,3/6,,,,2023,,,,,,,,,Becas
72,3,locuință utilizată,privat,False,220000,drept de proprietate,gata de utilizare,1/3,"('balcon',)",garaj,centrală pe gaz,2014,bloc,,"('cablu tv', 'internet', 'telefon')","('ușă metalică', 'interfon')","('aer condiționat', 'scară interioară')",cărămidă,"('frigider', 'mobilier', 'cuptor', 'plită', 'mașină de spălat')",,Europa
30,1,locuință utilizată,agenție,False,99800,drept de proprietate,gata de utilizare,2/2,,,centrală electrică,1980,,plastic,"('cablu tv', 'internet')","('ușă metalică', 'curte', 'interfon')","('debara',)",cărămidă,,,Centru
66,3,locuință nouă,agenție,False,179000,,gata de utilizare,3/4,"('balcon',)",,,1980,,,,,,,,,Marasti
28,1,locuință nouă,agenție,False,69500,,gata de utilizare,0/2,,,centralizată,2010,,,,,,,,,Manastur
